id,comments,sentiment,magnitude
1,We don't ha e enough parking spots (for cars) as it is so why remove ANY???,-0.8,0.8
2,"I do not think we need any of this. I do not feel the need for social distancing on a bicycle. While walking down the street now most everyone moves aside, respects others, changes directions. We dont need extra lanes to do this.",-0.2,1.5
3,"I'm as big a bicyclist as you're going to find, but please fix the existing bike lanes before you start making major changes elsewhere. The map of existing bike lanes is a joke - I didn't even know there was an existing bike lane on Ashley.",-0.6,1.3
4,Do not bicycle in that area.,-0.8,0.8
5,I feel comfortable cycling in town. I know how to avoid people and traffic.,0.4,1.0
6,I'm scared to bike in the paint and pray lanes,-0.7,0.7
7,"I used to bike Division every day for my work commute, and just having more space from cars makes a HUGE difference in my comfort level",0.9,0.9
8,This projects are the poorly thought out pet projects of a group in the city that does not like cars and completely ignores the fact that most people who work in Ann Arbor do not live in town,-0.8,0.8
9,"Having separate bikeways with barriers adds immensely to a sense of safety, beyond of course the instersections.",0.8,0.8
10,Someone is going to get killed! This was not well thought out and the motorists are confused and this has made our streets more dangerous!,-0.8,1.7
11,"I LOVE this program. I often feel unsafe biking in downtown Ann Arbor, but this makes me feel so much more secure. I am even buying warmer bike gear so I can use the lanes through the duration of the pilot!",0.9,2.8
12,"I want to bike more, but without clear lanes and barriers it's too difficult as drivers aren't paying attention to bikes. There have been a lot of bicycle accidents, so this is a real danger. I love that the projects help with this.",-0.1,2.5
13,You are limiting mobility for people with physical limitations that can still drive. Try applying ADA principles - car an elder with limited walking ability still get around town easily? If not - your design fails!,-0.4,1.4
14,I am strongly opposed to the creation of a bike lane on division.,-0.6,0.6
15,Safer because im not dodging children or dogs on the sidewalk. Feel much more comfortable in the street because of the physical barriers and tangible proof that bikes are allowed in the street,0.0,1.3
16,Changes from being a bike lane to not being in a bike lane (like on Miller before the pilot) feel particularly unsafe and many of these projects help reduce that.,-0.2,0.2
17,"All these pilot projects, and particularly the Division St project, have been a massive improvement to safety while bicycling in town! It is now much easier to cross the Broadway bridge.",0.8,1.7
18,It's a little confusing as is! But I especially love the one on Division.,0.1,1.5
19,"Even downtown, cars tend to drive too fast, and there isn't always separate space for cyclists. Reconfiguring our streets has improved that.",0.0,1.1
20,"To give these projects a fair shot, they need maintenance. Just today I found trash cans, barrels and parked vehicles forcing me out of the bike lanes. When we introduce new things, it can't be once and done.",-0.7,2.1
21,"When walking, I feel like I can safely distance myself from others during this pandemic. When biking, I don't fear cars clipping me and I don't feel like I'm getting in the way of normal flow of traffic.",0.5,1.1
22,Having more space to bike or simply have a lane to bike safely is one of the things I most like about living in Ann Arbor. I'm close enough to downtown to use my bike for almost every trip I do to downtown. I have a 3-year old son and he loves biking too,0.8,2.4
23,"Anything that gives me space from cars improves my sense of comfort, safety and security.",0.9,0.9
24,"I love them, much safer",0.9,0.9
25,"I love these! It makes biking with our children so much safer so we do it more. Please do Packard from Main to Stadium at least, please!",0.5,2.1
26,"I would love for them to be permanent as I really enjoy the ease of access to safe biking, and to be able to safely bike to a local business or downtown destination.",0.8,0.8
27,Not a single question about adverse auto impacts! Your survey is so biased it is worthless.,0.0,1.5
28,Absolutely RIDICULOUS! PLEASE REMOVE THEM NOW!! SOMEBODY WILL GET HURT DUE TO AN ACCIDENT!,-0.4,1.9
29,I'm a fairly strong cyclist and ride Ann Arbor streets for exercise. If I was a bike commuter I think I would love these changes. But for the way I ride they generally hem me in. But I know that more infrastructure causes more driver awareness and care.,0.2,1.7
30,i dont need to close a street to feel safe biking closing streets casues bigger problems for the general health of our city,-0.3,0.3
31,"Making it very clear to drivers that walkers and bikers are meant to be using the road, and are being given priority over cars, makes drivers more courteous and safe.",0.3,0.3
32,"The Division two way bike lane ruins the most efficient way of getting from downtown to the Northside. Having upstream ""salmon"" to dodge, speed bumps and stop signs is counter to safe effective cycling.",-0.3,0.7
33,THERE'S JUST MORE ROOM FOR PEOPLE AND LESS ROOM FOR CARS,-0.3,0.3
34,"Bicyclists still use the street, even when newly installed, permanent bikes lanes exist just feet away.",-0.4,0.4
35,"The dedicated bike lanes greatly increase cyclist safety and act as a road-diet for downtown streets, limiting people trying to speed down them and increasing everyone's safety and enjoyment of downtown.",0.7,0.7
36,"I feel much more comfortable with the extra space, as it helps me practice more effective social distancing. Outside of the pandemic, I also enjoy it because it allows me greater mobility without having to worry about vehicles and accidents.",0.9,1.9
37,Please tell me how either sitting in backed up traffic for 15 more min per day at idle while no one is in the closed lane is healthy. Or how the alternative to drive 4 extra miles to commute is helping the zero emissions?????????,-0.4,0.9
38,This is the most ridiculous project I've seen from this City. Closing down the side streets is stupid but limiting packard motor traffic from Platt to Eisenhower IS just insane.,-0.7,1.5
39,"It is a bit confusing to go from a normal nike lane from Miller and transfer to a separated, double bike lane when coming into town. It goes against what a normal bike path (going with traffic) looks and feels like.",-0.3,0.7
40,if you have two way traffic in the bike lanes then you aren't allowing for distancing. Runners/walkers/ bikes are all crammed into one area,-0.6,1.2
41,"I am hugely in favor of these bike lanes. I bike to work every day (even before the pandemic), and even with bike lanes have felt unsafe (and was hit by a car once) in Ann Arbor streets - especially with the need to navigate dangerous potholes.",0.0,1.4
42,I absolutely love the pilot projects! Please make them permanent!,0.5,1.0
43,It makes a huge difference to have that little bit of extra space while on a bike. Much safer,0.9,1.8
44,"I think this is a great idea! While traffic on Ann Arbor streets doesn't move at high speeds the streets are often quite busy and with these lanes designated for biking, I feel much more comfortable and visible when riding.",0.9,1.9
45,having more physical separation from 2-ton vehicles would further significantly increase my desire to bike,0.7,0.7
46,"I live right near the Kerrytown bridge, and the Division St lane has DRAMATICALLY increased my safety, commuting ease, and overall quality of transportation. Division street was a terror to bike on and the new lane slows down cars",0.0,1.7
47,I'm on the bike all the time with my kids. It's a less dangerous situation because of this project.,0.3,0.8
48,I'm so glad these are only temporary.,0.4,0.4
49,I think these are all wonderful projects because they make me feel much safer on my bike in downtown.,0.9,0.9
50,Thanks for piloting this and for seeking feedback - I hope it's a permanent addition to the downtown landscape!,0.9,0.9
51,"My major pain point of cycling in Ann Arbor is Packard St, between Eisenhower and Platt. The sidewalks in this area are narrow and very bumpy, cracked, and often have people walking. The new (temporary) lane of traffic for cycling this section is amazing!",-0.1,2.3
52,I will stop driving downtown if the pilot projects become permanent. My family and I will take more bicycle trips to different parks in the downtown area because I feel it will be safe enough to do so.,0.2,0.8
53,"I have a family with small children, and the Pilot Projects allow us to commute/ride downtown with much less stress. It increases how often we get out biking as a result.",0.4,0.8
54,These are wonderful repurposing/additions to each of the streets! Please continue this great work!,0.9,1.9
55,People are not using. Just adding to traffic to traffic congestio. Looks horrible like street under construction.,-0.6,1.8
56,Not willing to go downtown yet due to COVID and age.,-0.7,0.7
57,"I walk and bike---it feels good that the City is prioritizing this mode of transportation, particularly with this current need for social distancing.",0.8,0.8
58,The barriers put in place are very confusing. It looks like you are about to ride into a construction zone -- which as a biker I would NOT want to do.,-0.8,1.6
59,"I really like the idea of expanding bike infrastructure, and of 2-way protected bikeways. That said, some of the current routes do not feel like an improvement. eg. Division/Broadway bridge - the N end is very confusing, as is Huron St crossing",-0.1,2.6
60,Pilot projects only increase my sense that the city is clueless and lost touch with logic and common sense.,-0.8,0.8
61,"As a born and raised Ann Arborite, the Packard from Eisenhower to Platt NEEDS TO GO AWAY",-0.5,0.5
62,"Cars drive so much slower now, it feels so much safer, less noisy, and way less scary to bike. Heading south on Division, cars used to head 40-50mph consistently, now they are moving closer to 30-35mph, which is much much better.",0.8,1.6
63,This is such an inconvenience to cars. It slows down traffic incredibly. Not to mention no one is using the bike/pedestrian lanes. Please change it back!!,-0.7,3.0
64,I dont bike downtown.,-0.1,0.1
65,This is a biased survey. There is nowhere for those who oppose the pilot project to comment.,-0.5,1.1
66,"The separated lanes, combined with flashing stoplights, allows me to bike continuously.",0.8,0.8
67,"These are much needed and improve the safety of bikers/riders as well as the peace of mind for drivers. Especially in the early morning or evening, these projects are critically important for the city and especially the Kerrytown area.",0.6,1.2
68,Other bikers are not observing line and signal lights appropriately. Also cars turning so not always see cyclists that are going through the line straight due to the speed of the cyclist. ,-0.4,0.9
69,"Increased interaction with vehicles who are increasingly frustrated with being shoehorned into fewer, narrower lanes while cyclists are VERY few and far between, including those who are just using the existing bike lanes and sidewalks.",-0.6,0.6
70,"Don't do the main busy arteries like Packard, stay in the downtown area for this program.",-0.5,0.5
71,Feel that it makes biking much safer for myself and my family,0.9,0.9
72,I walk 15-20 miles a week. I use the sidewalks . We don't need to take the streets from cars to do that.,-0.1,0.8
73,"Biking in AA is not always safe (on roads with cars who may/may not be paying attention); thus, having protected biking spaces is a must for safety.",0.2,0.2
74,"Although I think the execution of these bikes lanes has been confusing for me, for those of us who understand their use they have been a game-changer. I feel far safer being set off from cars and cars move at a slower rate of speed.",0.0,1.0
75,All this does is make it harder to get anywhere and make drivers angry. This is the stupidest idea you idiots have ever come up with.,-0.8,1.7
76,"Makes no sense to wedge bike lanes in with car lanes. Distracted drivers next to vulnerable cyclists. Now, drivers are slowed, inconvenienced and angry -- even more dangerous for cyclists. Keep cars & bikes entirely separate!",-0.5,2.7
77,I have been through most of these areas and the only areas where congestion is significant was already part of this plan prior the extension to more areas.,-0.2,0.2
78,"Next time, put this on the ballot to vote on before forcing such a poorly executed project.",-0.8,0.8
79,"There should be better signage for the pilot / temp lanes so cyclists & pedestrians know to use them and drivers know NOT to use them. I didn't even know what they were until a friend told me, I had assumed they were blocked off for construction.",-0.7,1.4
80,I like that there's more of a physical barrier for bikes instead of a standard bike lane.,0.9,0.9
81,Nobody uses these and they are making an insane amount of traffic in Ann Arbor.,-0.8,0.8
82,"I feel so much safer not having to ride in traffic. This is especially true for my girlfriend, who is just learning to ride a bike. Having protected bike lanes makes her comfortable enough to ride downtown. Now we can bike downtown instead of driving.",0.9,3.7
83,Less fear of cars,0.5,0.5
84,I haven't been biking very much because I'm working remotely. But I know that Division/Broadway is one of the parts of my bike commute that normally makes me think twice about biking--it's normally so unsafe.,-0.4,0.9
85,"The pilot project which I have only seen while driving makes downtown so much friendlier for visitors, and as a commuter who currently only uses an automobile, I welcome any reduction in the auto traffic by making alternative transport easy is welcome",0.9,0.9
86,"I havent been especially concerned about physical distancing when Im on my bike, but I definitely like having space to ride separate from the cars. It makes me feel confident riding with my family. Route on Packard from Platt to Eisenhower is awesome",0.9,2.8
87,don't feel safe walking or biking despite extra space when it involves high volume multiple lane roads. Separate bike paths and wider sidewalks are better in my opinion,-0.4,0.9
88,"It's just stupid. Anyone with a brain can handle distancing, and the loss of driving lanes and parking is horrible.",-0.8,1.7
89,The section along Packard from Eisenhower to Platt is totally not needed. What a waste of time and money. The closure of two lanes has backed up traffic significantly.,-0.6,2.0
90,Senseless and expensive,-0.8,0.8
91,I drive,0.1,0.1
92,Distracted drivers and narrow streets generally make biking feel risky to health and safety. Pilot projects like this are a step in the right direction for keeping cyclist safe and encouraging biking as an eco friendly mother of commute and exercise.,0.0,1.7
93,"As an runner, this project has been fantastic! I absolutely feel safer on these streets. Thank you!",0.9,2.8
94,It makes things downtown so much harder. End this project.,-0.2,0.4
95,Personally I dont feel that these changes a of real significance in the Covid response and end up complicating traffic. I dont feel the potential benefit is worth the cost both monetary and ergonomically,-0.6,1.3
