id,comments,sentiment,magnitude
1,Just fix the existing bike lanes before you try to expand.,-0.2,0.2
2,"Division Street  I know these are temporary so this might not be possible, but barricades in addition to barrels would make me feel safer from cars. Also, I think this is still in process of being built, but going Southbound on Division is a little weird because there are not signs indicating when it is safe to proceed through an intersection when going south bound.",0.0,1.0
3,"Catherine St is a residential street with paid residential parking permits to allow people that live here to have somewhere to park. While the scheme I'm sure will have benefits, what consultation or allowances are given to people that live in the immediately affected areas to ensure this doesn't push out more residents from downtown. Residential parking bays have been recently eroded and replaced by paid meters on this street. Are we being squeezed out of Kerrytown/Old 4th?",-0.2,0.9
4,"These projects are ill-conceived, just as is this survey. I have seen but 2 bicycles used to project. In exchange, we are creating significant traffic issues, by eliminating left turn lane to and from high-traffic streets.",-0.4,1.4
5,"Get rid of these ridiculous bikeways, there is no demand for these and if you build it people will come is not reasonable",-0.8,0.8
6,"This might be the most poorly planned project I have witnessed in Ann Arbor in decades! The planning, the signage, the execution - all a HOT MESS! This is an utter fail!",-0.4,2.3
7,"For Miller/Catherine and Division, there is no signage and no real indication for cyclists or drivers what's going on. While cycling on these I experienced people driving and parking in the separated bike lanes. It just looks like a convoluted, confusing construction zone. I worry the lack of signage is going to lead to confusion and will be used as an argument against the improvements. These projects are good ideas but poorly implemented, and I worry they are destined to fail because of this.",-0.7,3.7
8,No bike lane on division,-0.7,0.7
9,"please remove the cars parking along catherine that are blocking the bikeway. The intersections on division on the north side seemed messy and confusing, esp when bikes are coming south and hoping to turn west and be seen",-0.8,1.6
10,Miller/Catherine - There are not clear directions on how transition from the bike lane west of first to the new pilot bike lane. Between Division and Fifth there are cars parked in the lane. State & North U - The road itself is in such a state of disrepair that it is very hard to ride a bike in this section. All of them - many of the dividers seem to have been set-up poorly or have been moved by cars/people afterwards. This makes some of them to small to pass another bicyclist.,-0.6,3.2
